	fuzzy	strategy	similarity_metric	n_components	model	accuracy	precision	recall	f1_score
65	True	baseline_sent	wasserstein-1	1	baseline_sent_wasserstein-1	0.25	0.25	0.18181818181818182	0.21052631578947367
66	True	baseline_tok	wasserstein-1	0	baseline_tok_wasserstein-1	0.25	0.25	0.18181818181818182	0.21052631578947367
67	True	baseline_tok	wasserstein-1	1	baseline_tok_wasserstein-1	0.25	0.25	0.18181818181818182	0.21052631578947367
68	True	intersection+mean	wasserstein-1	1	intersection+mean_wasserstein-1	0.25	0.25	0.18181818181818182	0.21052631578947367
69	True	intersection+mean	cos	0	intersection+mean_cos	0.5	1.0	0.09090909090909091	0.16666666666666666
70	True	mean	cos	1	mean_cos	0.5	1.0	0.09090909090909091	0.16666666666666666
71	True	intersection+intersection	cos	0	intersection+intersection_cos	0.4	0.3333333333333333	0.09090909090909091	0.14285714285714285
72	True	intersection+union	cos	0	intersection+union_cos	0.4	0.3333333333333333	0.09090909090909091	0.14285714285714285
73	True	selective_intersection+union	wasserstein-1	0	selective_intersection+union_wasserstein-1	0.35	0.25	0.09090909090909091	0.13333333333333333
74	True	selective_intersection+union	wasserstein-1	1	selective_intersection+union_wasserstein-1	0.35	0.25	0.09090909090909091	0.13333333333333333
75	True	mean	wasserstein-1	0	mean_wasserstein-1	0.25	0.16666666666666666	0.09090909090909091	0.11764705882352941
